path	line	function	receiver	exported	has_godoc	godoc_first_word	name_prefix_ok
examples/00-example-0/main_test.go	160	testUnknownLevelItem		false	false		false
examples/00-example-0/main_test.go	175	testCatalog		false	false		false
examples/00-example-0/main_test.go	195	mustMarshalCatalog		false	false		false
examples/00-example-0/main_test.go	204	installMockFetchText		false	false		false
examples/00-example-0/main_test.go	239	installMockDocumentBaseURI		false	false		false
examples/00-example-0/main_test.go	262	TestDecodeCatalogJSONValidation		true	false		false
examples/00-example-0/main_test.go	311	TestDecodeFetchedCatalogAndHelpers		true	false		false
examples/00-example-0/main_test.go	383	TestLoadMarkdownResourceAndRenderDocument		true	false		false
examples/00-example-0/main_test.go	406	TestFilterAndSortItems		true	false		false
examples/00-example-0/main_test.go	441	TestOptionRenderingAndDirectSliceExpansion		true	false		false
examples/00-example-0/main_test.go	455	TestStaticRenderHelpersProduceExpectedMarkup		true	false		false
examples/00-example-0/main_test.go	564	TestRenderDetailPanelAndDisplaySurfaceStates		true	false		false
examples/00-example-0/main_test.go	657	TestRenderCounterExampleInteractions		true	false		false
examples/00-example-0/main_test.go	694	TestCatalogDataURLResolvesAgainstDocumentBaseURI		true	false		false
examples/00-example-0/main_test.go	701	TestLoadCatalogResourceFetchesAndValidatesCatalog		true	false		false
examples/00-example-0/main_test.go	725	TestLoadCatalogResourcePropagatesErrors		true	false		false
examples/00-example-0/main_test.go	744	containsString		false	false		false
examples/00-example-0/markdown.go	12	markdownRenderOptions		false	false		false
examples/00-example-0/markdown.go	45	markdownDocumentHref		false	false		false
examples/00-example-0/markdown.go	57	renderMarkdownState		false	false		true
examples/01-counter/main.go	15	counterToneClass		false	false		false
examples/01-counter/main.go	26	counterToneLabel		false	false		false
examples/01-counter/main.go	37	CounterExample		true	false		false
examples/01-counter/main.go	127	main		false	false		false
examples/01-counter/main.go	133	resolveMountSelector		false	false		false
examples/01-counter/main.go	138	isEmbeddedExample		false	false		true
examples/02-text-input/main.go	17	TextInputExample		true	true	Text	false
examples/02-text-input/main.go	169	main		false	false		false
examples/03-toggle/main.go	15	ToggleExample		true	false		false
examples/03-toggle/main.go	80	main		false	false		false
examples/04-form/main.go	19	PersonForm		true	false		false
examples/04-form/main.go	110	main		false	false		false
examples/05-todo-basic/main.go	25	TodoItem		true	false		false
examples/05-todo-basic/main.go	41	TodoList		true	false		false
examples/05-todo-basic/main.go	131	main		false	false		false
examples/06-todo-advanced/main.go	61	PriorityBadge		true	false		false
examples/06-todo-advanced/main.go	84	CategoryBadge		true	false		false
examples/06-todo-advanced/main.go	94	DueDateDisplay		true	false		false
examples/06-todo-advanced/main.go	119	TodoItem		true	false		false
examples/06-todo-advanced/main.go	159	TodoInput		true	false		false
examples/06-todo-advanced/main.go	241	TodoFilters		true	false		false
examples/06-todo-advanced/main.go	286	TodoApp		true	false		false
examples/06-todo-advanced/main.go	384	main		false	false		false
examples/07-goroutines/main.go	32	GoroutineExample		true	false		false
examples/07-goroutines/main.go	332	main		false	false		false
examples/08-fetch/main.go	26	loadJSON		false	false		false
examples/08-fetch/main.go	51	UserCard		true	false		false
examples/08-fetch/main.go	82	App		true	false		false
examples/08-fetch/main.go	337	main		false	false		false
examples/09-atoms/main.go	21	CounterDisplay		true	false		false
examples/09-atoms/main.go	65	Controls		true	false		false
examples/09-atoms/main.go	119	App		true	false		false
examples/09-atoms/main.go	161	main		false	false		false
examples/10-advanced-form/main.go	38	InputField		true	false		false
examples/10-advanced-form/main.go	63	formPage		false	false		false
examples/10-advanced-form/main.go	165	successPage		false	false		false
examples/10-advanced-form/main.go	189	App		true	false		false
examples/10-advanced-form/main.go	223	main		false	false		false
examples/100-ai-chat-wizard/client/app/account_costs.go	13	useAccountCostSummary		false	false		false
examples/100-ai-chat-wizard/client/app/app.go	20	App		true	true	App	false
examples/100-ai-chat-wizard/client/app/app.go	287	Run		true	false		false
examples/100-ai-chat-wizard/client/app/app_shell.go	69	deriveAppViewState		false	false		false
examples/100-ai-chat-wizard/client/app/app_shell.go	142	renderAppShell		false	false		true
examples/100-ai-chat-wizard/client/app/app_shell.go	178	renderWorkspaceShell		false	false		true
examples/100-ai-chat-wizard/client/app/app_shell.go	250	renderDeleteConversationModal		false	false		true
examples/100-ai-chat-wizard/client/app/app_shell.go	278	renderSettingsModal		false	false		true
examples/100-ai-chat-wizard/client/app/app_shell.go	366	renderSpeechUpgradeModal		false	false		true
examples/100-ai-chat-wizard/client/app/app_shell.go	397	renderSettingsNavItem		false	false		true
examples/100-ai-chat-wizard/client/app/app_shell.go	416	renderActiveSettingsPane		false	false		true
examples/100-ai-chat-wizard/client/app/app_shell.go	593	settingsSectionTitle		false	false		true
examples/100-ai-chat-wizard/client/app/app_shell.go	612	settingsSectionDescription		false	false		true
examples/100-ai-chat-wizard/client/app/app_shell.go	634	settingsSectionEyebrow		false	false		true
examples/100-ai-chat-wizard/client/app/app_shell.go	653	newChatHandler		false	false		false
examples/100-ai-chat-wizard/client/app/app_shell.go	674	toggleSidebarHandler		false	false		false
examples/100-ai-chat-wizard/client/app/app_shell.go	680	toggleThoughtSectionHandler		false	false		false
examples/100-ai-chat-wizard/client/app/auth.go	39	handleUnauthenticatedRPC		false	false		true
examples/100-ai-chat-wizard/client/app/auth.go	59	loadPersistedAuthToken		false	false		false
examples/100-ai-chat-wizard/client/app/auth.go	71	persistAuthToken		false	false		false
examples/100-ai-chat-wizard/client/app/auth.go	84	clearPersistedAuthToken		false	false		true
examples/100-ai-chat-wizard/client/app/auth.go	92	useAuthSession		false	false		false
examples/100-ai-chat-wizard/client/app/auth.go	367	authErrorMessage		false	false		false
examples/100-ai-chat-wizard/client/app/auth.go	381	authStatusMessage		false	false		false
examples/100-ai-chat-wizard/client/app/auth.go	426	authDefaultFailureMessage		false	false		false
examples/100-ai-chat-wizard/client/app/auth.go	433	sanitizeRPCErrorText		false	false		false
examples/100-ai-chat-wizard/client/app/auth.go	453	authTokenExpiresWithin		false	false		false
examples/100-ai-chat-wizard/client/app/auth.go	461	authTokenExpiry		false	false		false
examples/100-ai-chat-wizard/client/app/auth.go	479	attachJSEventListener		false	false		false
examples/100-ai-chat-wizard/client/app/auth_shell.go	20	renderAuthLoadingShell		false	true	renderAuthLoadingShell	true
examples/100-ai-chat-wizard/client/app/auth_shell.go	143	renderAuthShell		false	true	renderAuthShell	true
examples/100-ai-chat-wizard/client/app/auth_shell.go	170	renderAuthHeader		false	true	renderAuthHeader	true
examples/100-ai-chat-wizard/client/app/auth_shell.go	223	renderAuthBody		false	true	renderAuthBody	true
examples/100-ai-chat-wizard/client/app/auth_shell.go	283	renderAuthFormCard		false	true	renderAuthFormCard	true
examples/100-ai-chat-wizard/client/app/auth_shell.go	437	renderAuthResetShell		false	true	renderAuthResetShell	true
examples/100-ai-chat-wizard/client/app/auth_shell.go	457	renderAuthResetHeader		false	true	renderAuthResetHeader	true
examples/100-ai-chat-wizard/client/app/auth_shell.go	494	renderAuthResetBody		false	true	renderAuthResetBody	true
examples/100-ai-chat-wizard/client/app/auth_shell.go	538	renderAuthResetFormCard		false	true	renderAuthResetFormCard	true
examples/100-ai-chat-wizard/client/app/auth_shell.go	600	renderAuthUpdatePasswordShell		false	true	renderAuthUpdatePasswordShell	true
examples/100-ai-chat-wizard/client/app/auth_shell.go	619	renderAuthUpdatePasswordHeader		false	true	renderAuthUpdatePasswordHeader	true
examples/100-ai-chat-wizard/client/app/auth_shell.go	654	renderAuthUpdatePasswordBody		false	true	renderAuthUpdatePasswordBody	true
examples/100-ai-chat-wizard/client/app/auth_shell.go	696	renderAuthUpdatePasswordFormCard		false	true	renderAuthUpdatePasswordFormCard	true
examples/100-ai-chat-wizard/client/app/auth_shell.go	774	renderAuthFooter		false	false		true
examples/100-ai-chat-wizard/client/app/auth_wasm_test.go	13	TestAuthErrorMessageUsesFriendlyProductText		true	false		false
examples/100-ai-chat-wizard/client/app/avatar.go	10	assistantAvatar		false	false		false
examples/100-ai-chat-wizard/client/app/bridge_reconnect.go	14	registerGRPCReconnectHandler		false	false		false
examples/100-ai-chat-wizard/client/app/bridge_reconnect.go	31	requestGRPCReconnect		false	false		false
examples/100-ai-chat-wizard/client/app/bubble.go	44	messageBubble		false	false		false
examples/100-ai-chat-wizard/client/app/canvas.go	94	latestCanvasPreview		false	false		false
examples/100-ai-chat-wizard/client/app/canvas.go	102	allCanvasArtifacts		false	false		false
examples/100-ai-chat-wizard/client/app/canvas.go	113	canvasArtifactsForMessage		false	false		true
examples/100-ai-chat-wizard/client/app/canvas.go	124	findCanvasArtifact		false	false		false
examples/100-ai-chat-wizard/client/app/canvas.go	137	canvasPreviewFromMarkdown		false	false		true
